date,GDP_yoy,CPI_yoy
1961-01-01,4.05120144521081,
1962-01-01,5.32924080938184,
1963-01-01,5.00217755853545,
1964-01-01,6.55870216905303,
1965-01-01,5.63011941423086,
1966-01-01,5.46585667174196,
1967-01-01,3.81510333514781,
1968-01-01,5.96513976675233,
1969-01-01,5.99121349188727,
1970-01-01,3.74798841275357,
1971-01-01,4.27189588381391,
1972-01-01,5.60407417248908,
1973-01-01,6.40568158428219,
1974-01-01,1.92740286791665,
1975-01-01,0.567446277206599,
1976-01-01,5.18475509082185,
1977-01-01,4.01043742512392,
1978-01-01,4.16244998600087,
1979-01-01,4.18531207359571,
1980-01-01,1.88444893316233,
1981-01-01,1.94118530268082,
1982-01-01,0.353390703003114,
1983-01-01,2.63133707563981,
1984-01-01,4.67737603592518,
1985-01-01,3.70936423050992,
1986-01-01,3.234538007346,
1987-01-01,3.75464317266483,
1988-01-01,4.55171938610555,
1989-01-01,3.72455382210886,
1990-01-01,2.72339535650362,
1991-01-01,1.21752777558875,
1992-01-01,2.03058559917697,
1993-01-01,1.84753175060024,
1994-01-01,3.3494458998,
1995-01-01,3.10638325216466,
1996-01-01,3.59003214577143,
1997-01-01,3.95901825315067,
1998-01-01,2.85165777689372,
1999-01-01,3.59628504620287,
2000-01-01,4.54210198750424,
2001-01-01,2.04012183503069,
2002-01-01,2.33132837331642,
2003-01-01,3.10918339147423,
2004-01-01,4.48499710004124,
2005-01-01,4.03861526085021,
2006-01-01,4.47122116709618,3.84234125624782
2007-01-01,4.38558322159375,4.82704847846411
2008-01-01,2.07395272619118,8.69482814363902
2009-01-01,-1.31959822434678,2.46257216113655
2010-01-01,4.52714707154168,3.21283442224664
2011-01-01,3.34731098254248,4.79588266183109
2012-01-01,2.70728114800569,3.67591897974496
2013-01-01,2.88902201263849,2.62105001748119
2014-01-01,3.14862374821112,2.35449052820362
2015-01-01,3.13451532534148,1.45069057605953
2016-01-01,2.8143608967909,1.60553917414213
2017-01-01,3.45634160134831,2.2542765193481
2018-01-01,3.29609128087935,2.44989082805349
2019-01-01,2.71004016031682,2.21677593359912
2020-01-01,-2.84908234670674,1.91983527270797
2021-01-01,6.41954127739832,3.48388055266683
2022-01-01,3.35991138278709,7.9309292543009
2023-01-01,2.94333273070461,5.87110177678991
2024-01-01,2.86326302627853,2.94952520485207
